index	scientific	common	prob	iberia	world
2408	Gallinago delicata	Wilson's Snipe	0.0190	3	16870
3096	Larus delawarensis	Ring-billed Gull	0.0187	150	111790
727	Branta canadensis	Canada Goose	0.0186	131	342131
2528	Glaucidium passerinum	Eurasian Pygmy-Owl	0.0186	0	1915
308	Anser brachyrhynchus	Pink-footed Goose	0.0183	65	2988
5588	Somateria mollissima	Common Eider	0.0168	117	26937
1801	Cygnus cygnus	Whooper Swan	0.0153	1523	1523
3472	Melanitta fusca	Velvet Scoter	0.0153	14	10545
316	Anser serrirostris	Tundra Bean-Goose	0.0149	5	4044
5970	Tetrao urogallus	Western Capercaillie	0.0137	23	2895
183	Alopochen aegyptiaca	Egyptian Goose	0.0129	3899	3899
2822	Hydrobates leucorhous	Leach's Storm-Petrel	0.0127	50	1011
2992	Junco hyemalis	Dark-eyed Junco	0.0126	0	177403
6	Acanthis cabaret	Lesser Redpoll	0.0124	0	2004
2095	Emberiza cineracea	Cinereous Bunting	0.0123	0	59
3514	Melospiza melodia	Song Sparrow	0.0120	0	182859
2666	Haliaeetus leucocephalus	Bald Eagle	0.0116	0	158286
269	Anas rubripes	American Black Duck	0.0116	17	21124
1876	Dendrocopos leucotos	White-backed Woodpecker	0.0107	4	11868
3318	Lyrurus tetrix	Black Grouse	0.0104	0	5609
4632	Picus canus	Gray-headed Woodpecker	0.0102	0	11864
3474	Melanitta perspicillata	Surf Scoter	0.0101	16	22258
